,listing_url,last_scraped,source,name,description,neighborhood_overview,picture_url,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
22,https://www.airbnb.com/rooms/1234785,01/04/2023,city scrape,"Begur, house w/garden & pool, view to sea & castle","200sqm house with garage, private garden and shared pool.<br />5 mn walking from Begur centre and some 3 kms from the various beaches and calas. Gorgeous views to the Medes islands and Castle from everywhere in the house. At the entrance level, a very nice suite with its private bathroom, and 2 large doublerooms with 2nd bathroom with same views. At the garden level, large livingroom with bar and its 28sqm porch. Opened kitchen with cellar. Guests toilets.<br /><br /><b>The space</b><br />Our house is perfect for relaxing and enjoying Begur Cape, its landscapes and varied activities (beaches, walks, cultural patrimony, nautic sports, golf...). Views over the sea, the Medes islands, as well as over the Begur village and its Castle  are beautiful , and invite to relaxation while keeping you connected to these exceptionnal surroundings.<br /><br /><b>Guest access</b><br />We rent the entire house, except a closed zone at the ground floor not included in the above description.<br />The swi","Close to Begur you'll be free to choose between the long Pals sand beach and the many beaches and calas of the Begur Cape (Sa Riera, SaTuna, Fornells, Aiguablava, ...) which are amongst the most beautiful of the Costa Brava. We recommend as well to explore the pathways that link them.<br />Diving (various marine reserves), nautic sports, tennis and various golf courses (one PGA) are available close by.<br />Gastronomy quality of the area is well known, and you'll find a large variety of restaurants in Begur and its surroundings.",https://a0.muscache.com/pictures/111fefa4-3f14-4997-b7b9-1bed57d4c049.jpg,https://www.airbnb.com/users/show/6732502,Emmanuelle,04/06/2013,"Catalonia, Spain","Somos una pareja francesa de 55 años afincada en España. Nos gusta la naturaleza, los artes y la buena comida. Practicamos regularmente senderismo por el cabo de Begur. ¡Bienvenidos a nuestra casa que hemos decidido abrir este año!",sin registro,sin registro,100%,f,https://a0.muscache.com/im/users/6732502/profile_pic/1370415372/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6732502/profile_pic/1370415372/original.jpg?aki_policy=profile_x_medium,sin registro,"['email', 'phone']",t,t,"Begur, Catalonia, Spain",Begur,Entire home,Entire home/apt,2.5,"[""Shared pool"", ""Free parking on premises"", ""Refrigerator"", ""Microwave"", ""Host greets you"", ""Private entrance"", ""Free street parking"", ""Hangers"", ""Room-darkening shades"", ""Dishes and silverware"", ""Sea view"", ""Bay view"", ""Bed linens"", ""Heating"", ""Cooking basics"", ""Backyard"", ""Washer"", ""Bathtub"", ""Hot water"", ""City skyline view"", ""Indoor fireplace"", ""Oven"", ""Crib"", ""Hair dryer"", ""Kitchen"", ""Iron"", ""Dishwasher"", ""Dryer"", ""Extra pillows and blankets"", ""BBQ grill"", ""Coffee maker"", ""Essentials"", ""Game console"", ""TV with standard cable"", ""Wifi""]",$335.00,t,01/04/2023,30/08/2021,25/08/2022,HUTG-026895,f,1234785,20230300000000.0,6732502.0,2.0,2.0,,41.95188,3.20297,6.0,,3.0,4.0,6.0,28,6.0,6.0,28,28,6.0,28.0,,0,0,0,10,2.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,0.0,0.0,0.1
26,https://www.airbnb.com/rooms/774371,01/04/2023,city scrape,ÁTICO DUPLEX a 20 metros de la playa,"<b>The space</b><br />Ático duplex a 20 metros de la playa , totalmente equipado para todo el año, especialmente diseñado para familias. Lugar muy tranquilo.<br /><br /><b>Other things to note</b><br />HUTG-014853 DC 79<br /><br /><b>License number</b><br />HUTG-014853",sin registro,https://a0.muscache.com/pictures/10827710/ad100070_original.jpg,https://www.airbnb.com/users/show/4085536,Jordi,07/11/2012,"Calonge, Spain","Soy una persona tranquila , deportista . Trabajo fuera , entonces no estoy mucho en casa.",within an hour,100%,98%,f,https://a0.muscache.com/im/pictures/user/6de5b9f4-68ba-4bf8-9420-692fa8d9a2de.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6de5b9f4-68ba-4bf8-9420-692fa8d9a2de.jpg?aki_policy=profile_x_medium,sin registro,"['email', 'phone']",t,t,sin registro,Calonge,Entire rental unit,Entire home/apt,2.0,"[""Central air conditioning"", ""Refrigerator"", ""Beach view"", ""Shampoo"", ""Microwave"", ""Host greets you"", ""Elevator"", ""Pets allowed"", ""Hangers"", ""Children\u2019s books and toys"", ""Stove"", ""Room-darkening shades"", ""Dishes and silverware"", ""Bed linens"", ""Heating"", ""Beach access \u2013 Beachfront"", ""Cooking basics"", ""Private patio or balcony"", ""Washer"", ""Hot water"", ""42\"" HDTV with DVD player"", ""Oven"", ""Hair dryer"", ""Kitchen"", ""Iron"", ""Dishwasher"", ""Dryer"", ""Extra pillows and blankets"", ""Coffee maker"", ""Smoking allowed"", ""Essentials"", ""Wifi"", ""Paid parking off premises""]",$60.00,t,01/04/2023,22/01/2017,10/09/2022,HUTG-014853,f,774371,20230300000000.0,4085536.0,2.0,2.0,,41.84428,3.10006,5.0,,2.0,4.0,6.0,1125,6.0,6.0,1125,1125,6.0,1125.0,,0,11,23,134,26.0,11.0,0.0,4.92,4.96,4.65,4.96,5.0,5.0,4.92,2.0,1.0,0.0,0.0,0.34
40,https://www.airbnb.com/rooms/1250062,01/04/2023,city scrape,HOLIDAY HOUSE WITH POOL ANELL ARO,"<b>The space</b><br />Townhouse in gated community with 2 pools, 4 bedrooms, 3 bathrooms, terrace and garage for 2 cars. <br />Fully equipped kitchen and very spacious living room with large window to the garden. 320m2 with capacity for 8 people. Quiet location in the center of Playa de Aro, near shopping area with good restaurants and 3 minutes from the beach.<br /><br /><b>License number</b><br />HUTG-025234",sin registro,https://a0.muscache.com/pictures/18834812/bf222255_original.jpg,https://www.airbnb.com/users/show/6811852,Olga,09/06/2013,"Barcelona, Spain","Propietaria
Me gusta hacer sentir a los huéspedes que están en su casa, por ello cuido los detalles y me preocupo por que tengan las mejores recomendaciones y atenciones de mi parte. ",within an hour,100%,100%,f,https://a0.muscache.com/im/users/6811852/profile_pic/1370778028/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6811852/profile_pic/1370778028/original.jpg?aki_policy=profile_x_medium,sin registro,"['email', 'phone']",t,t,sin registro,Castell-Platja d'Aro,Entire home,Entire home/apt,2.5,"[""Shared pool"", ""Courtyard view"", ""Free parking on premises"", ""Refrigerator"", ""Shampoo"", ""Host greets you"", ""Private entrance"", ""Pets allowed"", ""Hangers"", ""Dishes and silverware"", ""Heating"", ""Private backyard \u2013 Fully fenced"", ""TV"", ""Washer"", ""Indoor fireplace"", ""Beach access"", ""Hair dryer"", ""Kitchen"", ""Iron"", ""Coffee maker"", ""Smoking allowed"", ""Essentials"", ""Wifi""]",$303.00,t,01/04/2023,03/08/2021,21/07/2022,HUTG-025234,f,1250062,20230300000000.0,6811852.0,1.0,1.0,,41.82205,3.06874,8.0,,4.0,6.0,2.0,1125,2.0,7.0,1125,1125,2.1,1125.0,,27,49,78,313,3.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.15
43,https://www.airbnb.com/rooms/809136,31/03/2023,city scrape,Costabravaforrent Segalar 9,"Apartment in the village of Albons, Costa Brava, with views, pool, Wi-Fi internet and parking. 4 km from the Empúries-L'Escala beaches. Ideal for family holidays with children in Albons, L'Escala an<br /><br /><b>The space</b><br />Apartment in the village of Albons, Costa Brava, with views, pool, Wi-Fi internet and parking. 4 km from the Empúries-L'Escala beaches. Ideal for family holidays with children in Albons, L'Escala and the Costa Brava. <br />Segalar 9 is a lovely apartment with views of the countryside and Mount Segalar, located in the rural village of Albons, 4 km from the beaches of L'Escala, Costa Brava. <br />Cozy apartment built in 2007 and rebuilt in 2022, completely exterior and bright, in the ground floor, enjoy all the features needed for a wonderful holiday with family and children. <br />The apartment size is 70 m² for up to 4 people. Provides, among other amenities, air conditioning, large terrace, communal garden (1,000 m2), saline clorination swimming pool (16x8)",sin registro,https://a0.muscache.com/pictures/prohost-api/Hosting-809136/original/05acc520-6be2-48b7-b634-ddf66ff02f17.jpeg,https://www.airbnb.com/users/show/4208003,Cristina,21/11/2012,"Albons, Spain","Somos una empresa familiar de alquiler de vacaciones en la zona de la Costa Brava (Girona). Tenemos casas y apartamentos en las poblaciones de Albons, Foixà, Fonolleres, l'Escala, la Tallada y Sant Martí d'Empúries.",within an hour,100%,92%,t,https://a0.muscache.com/im/pictures/user/78197656-390f-4d20-8298-e20416556c3d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/78197656-390f-4d20-8298-e20416556c3d.jpg?aki_policy=profile_x_medium,sin registro,"['email', 'phone']",t,t,sin registro,Albons,Entire rental unit,Entire home/apt,1.0,"[""Air conditioning"", ""Refrigerator"", ""Microwave"", ""Elevator"", ""Dishes and silverware"", ""Bed linens"", ""Heating"", ""TV"", ""Washer"", ""Bathtub"", ""Oven"", ""Hair dryer"", ""Kitchen"", ""Iron"", ""Pool"", ""Dishwasher"", ""Coffee maker"", ""Patio or balcony"", ""Smoking allowed"", ""Essentials"", ""Wifi""]",$108.00,t,31/03/2023,09/04/2015,01/06/2019,HUTG-001370,t,809136,20230300000000.0,4208003.0,2.6,3.4,,42.10369,3.0823,4.0,,2.0,2.0,1.0,365,1.0,5.0,365,365,9.2,365.0,,26,56,58,121,5.0,0.0,0.0,5.0,5.0,4.6,5.0,5.0,4.8,5.0,2.5,1.9,0.0,0.0,0.05
53,https://www.airbnb.com/rooms/1262051,31/03/2023,city scrape,apartment with countryside views,"Open plan apartment. Part of a restored Catalan farmhouse. Panoramic views in the heart of the countryside. Close by to Besalú, medieval village, and well placed for many different and interesting excursions.<br /><br /><b>The space</b><br />Apartment for up to 4 people with kitchen/dining/sitting room, and bathroom with shower, contains a mezzanine with two double beds.<br />Rural views. Situated between the volcanic park of the Garrotxa, and the mediterranean sea. Allowing for many different excursions. 3 km from Besalú, a well preserved medieval village with all amenities.<br />In the grounds of the  house there's a swimming pool and children's playground with table tennis, 'futbolin' and at the bottom of the garden a zip wire swing. In the summer there's a mall rural campsite in the grounds,<br />which share the facilities. Also,  the bar and restaurant are open ( July and August). Friendly atmosphere.<br /><br /><b>Guest access</b><br />The apartment is independent, has it's own f","In the village up the track, you'll find a grocery shop, a couple of restaurants, a potters, and a contemporary furniture maker.",https://a0.muscache.com/pictures/19020294/914c3362_original.jpg,https://www.airbnb.com/users/show/6595329,Nathan,27/05/2013,"Maià de Montcal, Spain","A French/English mix with Catalan roots. I'm a chef and brewer, like travelling, and enjoy meeting new people.",within a day,100%,39%,f,https://a0.muscache.com/im/users/6595329/profile_pic/1401527947/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6595329/profile_pic/1401527947/original.jpg?aki_policy=profile_x_medium,sin registro,"['email', 'phone']",t,t,"Maià de Montcal, Catalonia, Spain",Maià de Montcal,Entire rental unit,Entire home/apt,1.0,"[""Hair dryer"", ""Kitchen"", ""Iron"", ""Air conditioning"", ""Pool"", ""Washer"", ""Free parking on premises"", ""Hangers"", ""Heating"", ""Hot water"", ""Essentials"", ""TV"", ""Host greets you"", ""Wifi"", ""Fire extinguisher"", ""First aid kit""]",$73.00,t,31/03/2023,01/05/2016,04/11/2018,ATG-000053,f,1262051,20230300000000.0,6595329.0,7.0,7.0,,42.20932,2.73697,4.0,,1.0,2.0,2.0,1125,2.0,7.0,1125,1125,3.0,1125.0,,0,0,0,9,5.0,0.0,0.0,4.75,5.0,4.75,5.0,5.0,5.0,5.0,7.0,5.0,0.0,0.0,0.06
66,https://www.airbnb.com/rooms/1269893,31/03/2023,city scrape,Masía en el parque natural de la Garrotxa,"NUESTRA ACOGEDORA CASA ESTA DENTRO DEL PARQUE NATURAL DE LA ZONA VOLCANICA DE LA GARROTXA Y A CINCO MINUTOS DE OLOT. TIENE TRES HABITACIONES CON BAÑO EN SU INTERIOR, COCINA,  UN AMPLIO SALON CON CHIMENEA Y BARBACOA EN EL JARDIN<br /><br /><b>The space</b><br />Caserío del siglo XIV reformado y totalmente equipado, situado en pleno Parque Natural de la zona Volcánica de la Garrotxa. Es uno de los lugares más bonitos del Parque, combina bosques, pastos y algunos caseríos aislados con chozas y muros de piedra seca de roca volcánica. En este paraje de múltiples leyendas es donde se originaron los primeros volcanes, ahora solo testimoniados por diferentes coladas de lava, ya enfriadas y superpuestas una encima de la otra, que configuran un relieve suave.<br />A cinco minutos del famoso Hayedo d’en Jordà, Volcán Santa Margarita, Volcán Croscat y la Ciudad de Olot. <br />Cuenta con un comedor sala de estar con chimenea, un gran distribuidor, una cocina totalmente equipada, tres habitaciones, ",sin registro,https://a0.muscache.com/pictures/55752019/2279b592_original.jpg,https://www.airbnb.com/users/show/6895785,Mariona,13/06/2013,"Catalonia, Spain",.,within an hour,100%,100%,t,https://a0.muscache.com/im/users/6895785/profile_pic/1372365201/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6895785/profile_pic/1372365201/original.jpg?aki_policy=profile_x_medium,sin registro,"['email', 'phone']",t,t,sin registro,Olot,Entire home,Entire home/apt,3.0,"[""Hair dryer"", ""Indoor fireplace: wood-burning"", ""Dedicated workspace"", ""Kitchen"", ""Hammock"", ""Washer"", ""BBQ grill"", ""Pets allowed"", ""Outdoor dining area"", ""Coffee maker"", ""Dishes and silverware"", ""Heating"", ""Hot water"", ""Outdoor furniture"", ""Essentials"", ""Private gym nearby"", ""TV"", ""Wifi""]",$220.00,t,31/03/2023,30/07/2013,26/03/2023,HUTG007256,t,1269893,20230300000000.0,6895785.0,1.0,1.0,,42.18014,2.51623,8.0,,3.0,5.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,14,39,50,298,96.0,19.0,0.0,4.98,4.93,5.0,4.98,4.94,4.94,4.92,1.0,1.0,0.0,0.0,0.82
93,https://www.airbnb.com/rooms/1307043,31/03/2023,city scrape,BEAUTIFUL FARMHOUSE 10 MIN. GIRONA,"Farmhouse of 6 rooms with private pool for up to 20 people. Mas Artigas is a traditional Catalan farmhouse been carefully renovated to offer maximum comfort and quality for the stay of our guests.<br /><br /><b>The space</b><br />Mas Artigas is a traditional Catalan farmhouse (Masia) 472m2 carefully restored, respecting the original architectural. The interior has been designed to provide the maximum comfort and quality to our guests stay.<br /><br />The house can accommodate up to 18-20 people.  Mas Artigas consists of a ground floor with fully equipped kitchen, spacious dining room with fireplace, cosy living room with TV and a playroom.<br />On the first floor, we dispose 5 double bedrooms (3 of them with shower) with a possibility to include an additional bed in each room and on the same floor a big bathroom. <br />Finally, on the second floor we have a big bedroom of 60m2 with 5-8  beds. <br />Please note that if you are staying two nights the check out is in the afternoon at any ",sin registro,https://a0.muscache.com/pictures/43828548/4853de76_original.jpg,https://www.airbnb.com/users/show/7105791,Dolors,25/06/2013,"Girona, Spain","He viajado por muchos sitios y siempre he agradecido la amabilidad y hospitalidad de la gente. Espero poder corresponder a nuestros huéspedes y asistirles en todo lo que necesitan durante su estancia en la casa y la región de Girona.
I have traveled to many places and have always appreciated the kindness and hospitality of the people. I hope to be able to satisfy our guests and assist them with everything they need during their stay in the house and the beautiful region of Girona.",within an hour,100%,76%,f,https://a0.muscache.com/im/pictures/user/49326607-a4be-42e6-a67a-f4e1cc906d6e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/49326607-a4be-42e6-a67a-f4e1cc906d6e.jpg?aki_policy=profile_x_medium,sin registro,"['email', 'phone']",t,t,sin registro,Bescanó,Entire home,Entire home/apt,6.0,"[""Air conditioning"", ""Wifi"", ""Board games"", ""Beach essentials"", ""Free parking on premises"", ""Crib - always at the listing"", ""Stainless steel oven"", ""Refrigerator"", ""Microwave"", ""Coffee maker: Nespresso, pour-over coffee"", ""Baby bath"", ""Rice maker"", ""Private entrance"", ""Pets allowed"", ""Hangers"", ""Blender"", ""Dishes and silverware"", ""Bed linens"", ""Heating"", ""Toaster"", ""Window guards"", ""Cooking basics"", ""Private backyard \u2013 Fully fenced"", ""TV"", ""Outdoor furniture"", ""Private BBQ grill: charcoal"", ""Washer"", ""Ping pong table"", ""Bathtub"", ""Drying rack for clothing"", ""Private pool"", ""Books and reading material"", ""Hot water"", ""Sun loungers"", ""Indoor fireplace"", ""Beach access"", ""Hair dryer"", ""Kitchen"", ""Iron"", ""Freezer"", ""Dishwasher"", ""Wine glasses"", ""Barbecue utensils"", ""Dining table"", ""Standalone high chair - always at the listing"", ""Outdoor dining area"", ""Hot water kettle"", ""Clothing storage: closet"", ""Essentials"", ""Changing table - always at the listing""]",$850.00,t,31/03/2023,27/10/2013,13/11/2022,HUTG-5366,f,1307043,20230300000000.0,7105791.0,1.0,2.0,,41.95851,2.76433,5.3,,2.3,3.8,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,28,44,52,86,37.0,6.0,0.0,4.94,4.94,5.0,4.94,4.94,4.74,4.94,1.0,1.0,0.0,0.0,0.32
103,https://www.airbnb.com/rooms/934350,01/04/2023,city scrape,Beautiful House with Pool and Beach 50 meters,"Nice detached house 50 meters from the beach. 150 m2, 3 floors, 3 double bedrooms, 2 bathrooms and 1 toilet. Living room and new kitchen. Private garden and communal garden with 2 swimming pools, for adults and for children. Two bicycles are available and a 2-seater half-kayak is available. No air conditioning but with ceiling fan in the living room and in the double bedroom. There is no wifi. Baby crib available<br /><br /><b>The space</b><br />Very quiet area with private garden, ideal for resting and practicing outdoor activities, swimming pool, beach, kayak, bicycle, hiking, sightseeing, etc.<br /><br /><b>Guest access</b><br />Garden and two swimming pools, one for adults and one for children.",The most special thing about the house is its proximity to the beach and the beauty of the coast.,https://a0.muscache.com/pictures/8b707755-b995-43c6-a26e-d17b41876510.jpg,https://www.airbnb.com/users/show/4673797,Nikodin,12/01/2013,"Barcelona, Spain","Española. Me gusta la vida al aire libre, pasear, leer y hacer bricolaje.",within an hour,100%,sin registro,f,https://a0.muscache.com/im/users/4673797/profile_pic/1390149960/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4673797/profile_pic/1390149960/original.jpg?aki_policy=profile_x_medium,sin registro,"['email', 'phone']",t,t,"Calonge, Catalunya, Spain",Calonge,Entire townhouse,Entire home/apt,2.5,"[""Free parking on premises"", ""Refrigerator"", ""Long term stays allowed"", ""Shampoo"", ""Microwave"", ""Luggage dropoff allowed"", ""Pets allowed"", ""Hangers"", ""Stove"", ""Dishes and silverware"", ""Bed linens"", ""Cooking basics"", ""TV"", ""Washer"", ""Building staff"", ""Hot water"", ""Indoor fireplace"", ""Oven"", ""Pool"", ""Kitchen"", ""Iron"", ""Self check-in"", ""Dishwasher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Smoking allowed"", ""Essentials"", ""Wifi"", ""Paid parking off premises""]",$250.00,t,01/04/2023,24/08/2018,18/08/2019,sin registro,f,934350,20230300000000.0,4673797.0,1.0,1.0,,41.84131,3.09432,6.0,,3.0,5.0,10.0,91,3.1,10.0,91,91,10.0,91.0,,0,0,0,216,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.05
108,https://www.airbnb.com/rooms/939378,01/04/2023,city scrape,Canyelles Mar - Luxury  apartment A-1 beach/ pool,"Luxurious holiday apartment with swimming pool at the beach to rent in residence “Canyelles Mar"".  <br />Beautiful terrace with sun during the whole day with   stunning views overlooking the beach and the sea.<br />The apartment has 2 doble bedrooms and 1 bedroom for 2 children or 1 adult and 2 bathrooms. Bed linen and towels, wifi, flat TV with satellite, full equipped kitchen; Nespresso coffee maker (and normal one), wash machine, dish washer, etc,  full air conditioning, garage and  pool included.<br /><br /><b>The space</b><br />Luxurious holiday apartment with swimming pool at the beach to rent in residence “Canyelles Mar. <br /><br />Beautiful terrace with sun during the whole day.  Looks out over the romantic  bay, sea and gold colour sand  beach also from the living and principal bedroom. You will be stunned by the fabulous views.  The situation is full south.<br />The furniture is carefully chosen and modern. Flat screen TV in the living. Three bedrooms and  two bathrooms. The","You will be able to visit CADAQUES, the DALI museum in Figueres, walk around the national park CAP DE CREUS. Take a boat excursion or go cicling, as the apartment has a storeroom for your bicicles next to your parking. Or make a day excursion to Barcelona.",https://a0.muscache.com/pictures/13876963/9f4658e9_original.jpg,https://www.airbnb.com/users/show/5074486,Eveline,13/02/2013,"Roses, Spain","I live in Roses during the whole year and will welcome you at the appointed arrival time  by you. You can call me one hour before your arrival to specify the hour.
 I will be there for you if you have any problem or any questions during your stay. You can always contact me by telephone, (Hidden by Airbnb) or email.
 You will love my apartement, as I have many clients who come back every year. 
",within an hour,100%,93%,t,https://a0.muscache.com/im/users/5074486/profile_pic/1360840405/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5074486/profile_pic/1360840405/original.jpg?aki_policy=profile_x_medium,sin registro,"['email', 'phone']",t,t,"Roses, Catalonia, Spain",Roses,Entire condo,Entire home/apt,2.0,"[""Air conditioning"", ""Shared pool"", ""Free parking on premises"", ""Refrigerator"", ""Long term stays allowed"", ""Microwave"", ""Lockbox"", ""Safe"", ""Private entrance"", ""Elevator"", ""Luggage dropoff allowed"", ""Pets allowed"", ""Hangers"", ""Room-darkening shades"", ""Dishes and silverware"", ""Bed linens"", ""Heating"", ""Beach access \u2013 Beachfront"", ""Toaster"", ""Cooking basics"", ""TV"", ""Private patio or balcony"", ""Washer"", ""High chair"", ""Drying rack for clothing"", ""Electric stove"", ""Hot water"", ""Sun loungers"", ""Oven"", ""Crib"", ""Hair dryer"", ""Kitchen"", ""Iron"", ""Freezer"", ""Dishwasher"", ""Wine glasses"", ""Extra pillows and blankets"", ""Dining table"", ""Self check-in"", ""Hot water kettle"", ""Coffee maker: drip coffee maker, Nespresso"", ""Clothing storage: closet"", ""Essentials"", ""Wifi""]",$125.00,t,01/04/2023,27/08/2016,28/01/2023,HUTG-159073,f,939378,20230300000000.0,5074486.0,3.0,3.0,,42.24624,3.1975,6.0,,3.0,5.0,7.0,365,7.0,7.0,365,365,7.0,365.0,,7,17,17,107,14.0,7.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.93,2.0,2.0,0.0,0.0,0.17
111,https://www.airbnb.com/rooms/1329359,01/04/2023,city scrape,Sa Tuna. A 2 minute walk to beach,"Built in 1955 and thanks to the magnificent design of the architect Illescas, our house is still current and extremely comfortable today.<br />We like to take care of it and maintain it as it deserves, although, being so close to the sea, it is sometimes a difficult and expensive task.<br />Decorated according to our style, we want it to have a personal, diaphanous, clean, homey and practical aspect.<br /><br /><b>The space</b><br />Beautiful waterfront home overlooking the bay and the beach. <br /> <br />With 3 bedrooms, 2 bathrooms and a toilet. All exterior <br />Living room and lounge. <br />A large terrace with a small garden is the preferred place to enjoy great moments of rest, for lunch and dinner on the outside, to be with family or friends and to 'waste time' watching the comings and goings of the boats and of bathers. <br /> <br />The house is located in the bay of Sa Tuna, facing the sea. Going down the stairs, in 2 minutes you will reach the beach. <br /> <br />Its enviabl",sin registro,https://a0.muscache.com/pictures/9eb93172-86fa-4873-a777-899580d7792f.jpg,https://www.airbnb.com/users/show/7212885,Carina I Jordi,01/07/2013,"Sabadell, Spain","We are a family of 5 (nowadays, of 7)- All of us love Sa Tuna. We all grow up there and we all have there our best friends. We like take care of our house and we enjoy of it ever we could (every weekend in any season). We like calm music (classic, jazz, even contemporary), we like read, we like stay with friends,... Our way of life is working in museums, assembling expositions and preventive curating or management heritage.",within a day,100%,100%,f,https://a0.muscache.com/im/users/7212885/profile_pic/1386448236/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7212885/profile_pic/1386448236/original.jpg?aki_policy=profile_x_medium,sin registro,"['email', 'phone']",t,t,sin registro,Begur,Entire townhouse,Entire home/apt,2.5,"[""Board games"", ""Changing table"", ""Courtyard view"", ""Free parking on premises"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Beach view"", ""Outdoor shower"", ""Baking sheet"", ""Microwave"", ""Host greets you"", ""Safe"", ""Body soap"", ""First aid kit"", ""Private entrance"", ""Garden view"", ""Luggage dropoff allowed"", ""Hangers"", ""Children\u2019s books and toys for ages 2-5 years old"", ""Room-darkening shades"", ""Dishes and silverware"", ""Bed linens"", ""Bay view"", ""Shower gel"", ""Toaster"", ""Cooking basics"", ""Record player"", ""Beach access \u2013 Beachfront"", ""TV"", ""Sound system with aux"", ""Private backyard \u2013 Fully fenced"", ""Outdoor furniture"", ""Private patio or balcony"", ""Bathtub"", ""Portable fans"", ""High chair"", ""Coffee"", ""Drying rack for clothing"", ""Cleaning products"", ""Books and reading material"", ""Hot water"", ""Free washer \u2013 In unit"", ""Indoor fireplace"", ""Crib"", ""Oven"", ""Hair dryer"", ""Kitchen"", ""Iron"", ""Freezer"", ""Dishwasher"", ""Wine glasses"", ""Extra pillows and blankets"", ""Barbecue utensils"", ""Dining table"", ""BBQ grill"", ""Outdoor dining area"", ""Hot water kettle"", ""Coffee maker"", ""Clothing storage: closet"", ""Essentials"", ""Wifi"", ""Waterfront""]",$350.00,t,01/04/2023,03/07/2016,30/07/2022,HUTG-031582,f,1329359,20230300000000.0,7212885.0,1.0,5.0,,41.961021,3.229251,6.0,,3.0,6.0,3.0,20,3.0,7.0,20,20,4.2,20.0,,0,26,50,139,20.0,2.0,0.0,5.0,5.0,5.0,4.95,5.0,5.0,4.95,1.0,1.0,0.0,0.0,0.24
