,listing_url,last_scraped,source,name,description,neighborhood_overview,picture_url,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,calendar_last_scraped,first_review,last_review,instant_bookable,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
10,https://www.airbnb.com/rooms/2083241,30/03/23,city scrape,Condesa Apartment in 1920s Landmarked Art Nouveau Mansion,"This newly redecorated (after these photos were taken) one bedroom loft style apartment is an addition to a 1920s landmarked Art Nouveau mansion. It has large shared outdoor areas and is in a safe tree lined park filled area with lots of restaurant and shopping options.<br /><br />The mansion is a pleasant 15 minute walk from the museums in the Bosque de Chapultepec (Museo de Arte Moderno, Museo Tamayo, Castillo de Chapultepec, the world famous Museo de Antropologia e Historia, etc.)  A pleseant 3 minute walk from Parque Mexico and Parque Espana.  2 blocks from Palacio de Hierro department store.  Well connected to subway and metrobus lines.  There's a large supermarket 2 blocks away as well.  Everything you'll need from shopping to dinning or entertainment, is conveniently near as well as upscale gyms and yoga schools.  The house is an oasis of tranquility in the middle of a bustling, exciting city.  A perfect place to rest and recharge your batteries after work or sightseeing.<br /><","Stroll in Parque Mexico and Parque Espana, just 3 minutes from this apartment on the border of the trendy Condesa and Roma districts. These safe, attractive neighborhoods boast tree-lined streets, fountains, and many dining and shopping options.",https://a0.muscache.com/pictures/miso/Hosting-2083241/original/a271d265-7818-4678-9da2-94671d338150.jpeg,https://www.airbnb.com/users/show/8282570,Thomas,20/08/13,"Mexico City, Mexico","HI!  I'm from New York.  Came to Mexico 20 years ago to play French Horn in the orchestra here.  Loved the country (still do), hated the orchestras.  I've been giving voice lessons for about the last 15 years.  Mostly musical comedy.  I'm home oriented, love to cook.  Do lots of yoga.  Love to be a tour guide to help people explore this amazing city.",within an hour,100%,98%,t,https://a0.muscache.com/im/users/8282570/profile_pic/1377028952/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8282570/profile_pic/1377028952/original.jpg?aki_policy=profile_x_medium,Roma Norte,"['email', 'phone']",t,t,"Mexico City, DF, Mexico",CuauhtÃ©moc,Entire rental unit,Entire home/apt,1 bath,"[""Smoke alarm"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""TV with standard cable"", ""Host greets you"", ""Essentials"", ""Extra pillows and blankets"", ""Iron"", ""Microwave"", ""Hot water"", ""Stove"", ""Backyard"", ""Hair dryer"", ""Cooking basics"", ""Washer"", ""Refrigerator"", ""Hangers"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Coffee maker"", ""Bed linens"", ""Wifi"", ""Patio or balcony"", ""Dishes and silverware"", ""Dryer"", ""Carbon monoxide alarm"", ""Body soap"", ""Shampoo""]","$1,881.00",t,30/03/23,03/10/14,13/03/23,f,2083241,20200000000000.0,8282570.0,7.0,7.0,19.4153,-99.16763,3.0,1.0,2.0,3.0,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,4.0,33.0,63.0,153.0,60.8,36.0,1.0,4.93,4.94,4.96,5.0,4.99,4.95,4.91,3.0,3.0,0.0,0.0,2.63
11,https://www.airbnb.com/rooms/67703,30/03/23,city scrape,"2 bedroom apt. deco bldg, Condesa","Comfortably furnished, sunny, 2 bedroom apt., on the second floor,  Colonia Condesa.<br /><br /><b>The space</b><br />Comfortably furnished, sunny, 2 bedroom apt., on the second floor,  Colonia Condesa. One bedroom has a queen size bed, the other, 1  single. We're located around the corner from both Parque Mexico and  Av. Insurgentes. <br />The apt. is in a 1940 vintage Art Deco apt. building, and has been restored, preserving the hardwood floors and much original detail.  The kitchen is fully equipped (this is our home, not a rental flat) and linens are provided. There is a large TV, DVD, stereo with ipod hookup, wifi, laundry on roof.  We're located in a safe, quiet part of Condesa, 1 block from the metrobus (Sonora), a multiplex cinema and mall, Parque MÃ©xico, many restaurants and bars. A modern supermarket as well as a traditional Mexican market are both 4 blocks away, and there are exquisite street markets on Tuesdays and Fridays.<br />We do not charge a cleaning fee - no surprise",sin registro,https://a0.muscache.com/pictures/3281720/6f0786b9_original.jpg,https://www.airbnb.com/users/show/334451,Nicholas,04/01/11,"Mexico City, Mexico","I am a journalist writing about food, (book and blog: Good Food in Mexico City).  The 'deco apartment' I rent is my own, the other, 'luxury' flat is that of my best friend - I help rent it for her as she is not as computer and English savvy. I am not an agent!

My partner and I do a lot of traveling: We have been to Spain, France, Holland, Turkey, Greece, India, Cuba, Ecuador, China, Bangladesh. and all over Southeast Asia. Oh, and the  United States.",within a day,75%,73%,f,https://a0.muscache.com/im/users/334451/profile_pic/1395600180/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/334451/profile_pic/1395600180/original.jpg?aki_policy=profile_x_medium,HipÃ³dromo,"['email', 'phone']",t,t,sin registro,CuauhtÃ©moc,Entire rental unit,Entire home/apt,1 bath,"[""Record player"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Wifi"", ""Iron"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Bathtub"", ""TV with standard cable"", ""Stove"", ""Clothing storage: closet"", ""Sound system"", ""Coffee maker"", ""Bed linens"", ""Essentials""]","$2,088.00",t,30/03/23,17/11/11,01/01/23,f,67703,20200000000000.0,334451.0,3.0,5.0,19.41152,-99.16857,4.0,2.0,2.0,4.0,30.0,4.0,4.0,1125.0,1125.0,4.0,1125.0,27.0,57.0,87.0,362.0,47.0,7.0,0.0,4.89,4.8,4.73,4.93,4.91,4.98,4.91,2.0,2.0,0.0,0.0,0.34
13,https://www.airbnb.com/rooms/70644,29/03/23,city scrape,Beautiful light Studio Coyoacan- full equipped !,"COYOACAN designer studio quiet & safe! well equipped; super fast internet. Neighbor to Frida & Trotsky; Close to the main square; 5 mins walk to museums, the Coyoacan market, cafes & bars! Eco friendly & private  with its own patio & roof garden. Short and now long-term rental available! Experience, the market, the restaurants and cafes or cook at home. Your base in this great city. 5 minutes walk to the Cineteca, you will be staying a location of filmmakers, but who are dedicated to our guests.<br /><br /><b>The space</b><br />LIGHT, SPACIOUS, QUIET, FRIENDLY LOCATION. YOU WILL ARRIVE IN MEXICO CITY TO A BEAUTIFUL HOME AWAY FROM HOME.  THESE APARTMENTS HAVE  EVERYTHING ONE MIGHT NEED, RELIABLE FAST WIRELESS INTERNET LAUNDRY ON THE PREMISES, CLEANING and BED AND TOWEL CHANGE ONCE A WEEK.  CLOSE TO TO THE CASA AZUL, FRIDA'S  HOUSE IN COYOACAN. SITUATED ON A QUIET SAFE STREET. TEN MINUTES WALK TO THE SUBWAY. AROUND THE CORNER IS THE FAMOUS COYOACAN MARKET AND SQUARE  WITH ARTISAN STORES,","Coyoacan is a beautiful neighborhood famous for its artists and for artisanal ice creams! Fantastic little cafe's and street life. Wonderful market, Frida and Trotsky around the corner. Its safe and quiet. Near Viveros, a wonderful class where one can run, walk, join a Tai Chi class, or watch the bullfighters practice with each other.. ( not with bulls!) like a choreographed ballet in the open air. Close to Roma and Condesa but without the noise of the city and without the pollution. Visit Cineteca only 5 minutes walk with its multi screens showing Mexican and International movies, with its cafe's and out door screen.",https://a0.muscache.com/pictures/f397d2da-d045-4be4-b71e-303855da7aac.jpg,https://www.airbnb.com/users/show/212109,Trisha,24/08/10,"Mexico City, Mexico","I am a mother, documentary film maker and photo curator, originally from England but today live in  Mexico City. I love design, art, photography (movies of course) meeting new people and hosting the apartments. Coyoacan is an amazing neighborhood and it gives me pleasure in introducing our guests to places I have discovered over time. We love sharing with our visitors at the same time respecting their total privacy, I have been a super host now for over 5 years... and take pride in taking care of our guests. It matters! I have had some not so good experiences traveling myself and so all the more reason to make the stay for our visitors the best possible.",within a day,100%,100%,t,https://a0.muscache.com/im/users/212109/profile_pic/1324003289/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/212109/profile_pic/1324003289/original.jpg?aki_policy=profile_x_medium,CoyoacÃ¡n,"['email', 'phone', 'work_email']",t,t,"Mexico City, Federal District, Mexico",CoyoacÃ¡n,Entire rental unit,Entire home/apt,1 bath,"[""Smoke alarm"", ""Free street parking"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""TV with standard cable"", ""Security cameras on property"", ""Children\u2019s dinnerware"", ""Dedicated workspace"", ""Essentials"", ""Table corner guards"", ""Iron"", ""Hot water"", ""Game console"", ""Stove"", ""Free parking on premises"", ""Hair dryer"", ""Cooking basics"", ""Babysitter recommendations"", ""Washer"", ""Refrigerator"", ""Hangers"", ""Fire extinguisher"", ""Kitchen"", ""Coffee maker"", ""Bed linens"", ""Private patio or balcony"", ""Private entrance"", ""Children\u2019s books and toys"", ""Wifi"", ""Dishes and silverware"", ""Dryer"", ""Shampoo""]","$1,097.00",t,29/03/23,14/02/12,31/01/23,f,70644,20200000000000.0,212109.0,3.0,4.0,19.35448,-99.16217,2.0,1.0,1.0,2.2,180.0,2.1,2.2,1125.0,1125.0,2.2,1125.0,0.0,21.0,21.0,145.0,114.0,5.0,0.0,4.9,4.9,4.95,4.95,4.98,4.96,4.92,3.0,2.0,1.0,0.0,0.84
24,https://www.airbnb.com/rooms/783080,29/03/23,city scrape,Nice quiet room in a lovely house!!,"<b>The space</b><br />Located in a private street, with a quiet atmosphere and colonial style, <br />A sunny beautiful single room.In a 3000 square feet house with garden. <br />In the south area of Mexico City one block from Periferico and Glorieta de la bandera in San JerÃ³nimo. Near Shopping Center, Banks, Supermarket, Angeles Hospital, Perisur, Sitio Taxi rank, bus stop at one block. Please make sure you read the house rule and agree before booking! Thanks.",sin registro,https://a0.muscache.com/pictures/10975910/d208bf65_original.jpg,https://www.airbnb.com/users/show/1767559,Anna,17/02/12,"Mexico City, Mexico","Traveling is my passion!!!!!!!  
 I look for interesting people, delicious food and healthy ways to have fun!
 I enjoy being a host.
 Come and stay in our stress free environment.",within an hour,100%,100%,f,https://a0.muscache.com/im/users/1767559/profile_pic/1337015651/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1767559/profile_pic/1337015651/original.jpg?aki_policy=profile_x_medium,San JerÃ³nimo LÃ­dice,"['email', 'phone']",t,t,sin registro,La Magdalena Contreras,Private room in home,Private room,1.5 baths,"[""Extra pillows and blankets"", ""Wifi"", ""Iron"", ""Hangers"", ""Kitchen"", ""TV with standard cable"", ""Coffee maker"", ""Dedicated workspace""]",$549.00,t,29/03/23,26/06/15,26/03/23,f,783080,20200000000000.0,1767559.0,3.0,3.0,19.33009,-99.21418,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,11.0,31.0,61.0,336.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,3.0,0.0,0.04
26,https://www.airbnb.com/rooms/2118573,30/03/23,city scrape,Walk to WTC from a Family Apartment in a Trendy Neighborhood,"The flat will give you the chance to live Mexico City like a local and enjoy original vintage furniture perfectly curated and revamped to meet modern needs. The 160 sq. mts. (1,722 sq. ft.) flat is a rare find in Mexico City and will ensure confort and space to enjoy your stay.<br /><br />3 bedrooms (1 King, 1 Double, 1 bunkbed with 2 singles), each with fully equipped ensuite bathroom . Fully equipped kitchen, broadband internet, cable television, washer and dryer, coffee machine with complimentary capsules and fresh towels and linens. Parking available upon request at extra charge.<br /><br />We are more than happy to provide any local advice and will be available 24/7, but you will have the flat all to yourself!<br /><br />The apartment is in the fashionable and quiet Colonia NÃ¡poles neighborhood in Central Mexico City, a few blocks from the World Trade Center. Walk to restaurants, parks, cinemas, supermarkets, and shopping centers. Two Turibus stations are nearby.<br /><br />Napole","The apartment is in the fashionable and quiet Colonia NÃ¡poles neighborhood in Central Mexico City, a few blocks from the World Trade Center. Walk to restaurants, parks, cinemas, supermarkets, and shopping centers. Two Turibus stations are nearby.",https://a0.muscache.com/pictures/bfae5c71-fb21-4919-a265-3dcad681bccb.jpg,https://www.airbnb.com/users/show/10802698,Hector,25/12/13,"Mexico City, Mexico",Always looking forward to meeting new people and travelling around the world.,within an hour,91%,95%,t,https://a0.muscache.com/im/users/10802698/profile_pic/1390116423/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/10802698/profile_pic/1390116423/original.jpg?aki_policy=profile_x_medium,NÃ¡poles,"['email', 'phone']",t,t,"Mexico City, Federal District, Mexico",Benito JuÃ¡rez,Entire rental unit,Entire home/apt,3 baths,"[""Smoke alarm"", ""Luggage dropoff allowed"", ""Single level home"", ""Long term stays allowed"", ""Host greets you"", ""Children\u2019s dinnerware"", ""Essentials"", ""Extra pillows and blankets"", ""Oven"", ""Iron"", ""Microwave"", ""Hot water"", ""Stove"", ""Backyard"", ""Hair dryer"", ""Free parking on premises"", ""Cooking basics"", ""Elevator"", ""Heating"", ""Shower gel"", ""Paid parking on premises"", ""Washer"", ""Refrigerator"", ""Hangers"", ""Room-darkening shades"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Coffee maker"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Patio or balcony"", ""Dishes and silverware"", ""Dishwasher"", ""Dryer"", ""HDTV with standard cable, Netflix"", ""Carbon monoxide alarm"", ""Body soap"", ""Shampoo""]","$2,049.00",t,30/03/23,31/01/14,02/03/23,f,2118573,20200000000000.0,10802698.0,3.0,3.0,19.38777,-99.17532,6.0,3.0,1.5,2.0,180.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,29.0,59.0,88.0,88.0,215.0,31.0,1.0,4.91,4.94,4.92,4.96,4.96,4.87,4.95,3.0,3.0,0.0,0.0,1.93
27,https://www.airbnb.com/rooms/165772,30/03/23,city scrape,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,"Welcome to Your Home in Mexico City<br />We have a great and charming  HOUSE in San Miguel Chapultepec, just 2 blocks away from Chapultpec Park and Polanco, heart of business in Mexico City, very near downtown and block away fom condesa<br />Quiet at night if you like long sleeps no trafic, quiet athmosfere and colonial style.<br />Location, location, and location, this beautifull HOUSE  is  in one of the last beautifull mexican barrio, is like comming to the real traditional mexico<br /><br /><b>The space</b><br />We are at a stone trow of all mayor streets, like Reforma Av, and Constituyentes, Revolucion y Patriotismo, Metro stations (4), bus lines, special bus line to the airport near by.<br /> <br />Why Torture yourself in a small apartment when you are on vacation, when u can have all the space u need, garden, terrace, a huge sized kitchen and living spaces. just check the verified photos on the add and choose the best.Save your budget for the many fun possibilities of Mexico,  li","San Miguel Chapultepec is the best kept secret in the City of Mexico, just on the  side of the big Chapultepec park, very close from large musems like the National Archeological, Modern Art, Contemporary Art, and big hotels area, all the goodies without the hassle of the busy streets. IF our President lives here there must be a reason.",https://a0.muscache.com/pictures/miso/Hosting-165772/original/65e8117e-bcbc-4fa6-81bb-da2b9ca5b6fd.jpeg,https://www.airbnb.com/users/show/790208,Maria Jose,07/07/11,"Mexico City, Mexico","We live Mexico City and we really love it so badly so we decide to share our house and country with guests, IÂ´m a lawyer , we live in a quite small old neighbour in Mexico City.
We like to think Guests are part of our life, part of our family,  they are giving us great experiences and interesting talks, we treat them as we would like to be treated when we travel, we really love Airbnb ",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/733e230b-4d30-40f0-9af6-1a839c582414.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/733e230b-4d30-40f0-9af6-1a839c582414.jpg?aki_policy=profile_x_medium,San Miguel Chapultepec,"['email', 'phone']",t,t,"Mexico City, Federal District, Mexico",Miguel Hidalgo,Entire home,Entire home/apt,5 baths,"[""Ethernet connection"", ""Free street parking"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""TV with standard cable"", ""Security cameras on property"", ""Crib"", ""Children\u2019s dinnerware"", ""Essentials"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Oven"", ""Iron"", ""Microwave"", ""Hot water"", ""Keypad"", ""Private hot tub"", ""Stove"", ""Pocket wifi"", ""Backyard"", ""Hair dryer"", ""Free parking on premises"", ""Cooking basics"", ""Babysitter recommendations"", ""Heating"", ""Cleaning available during stay"", ""Paid parking on premises"", ""Washer"", ""Refrigerator"", ""Hangers"", ""Kitchen"", ""Smoking allowed"", ""First aid kit"", ""Self check-in"", ""Coffee maker"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s books and toys"", ""Wifi"", ""High chair"", ""Patio or balcony"", ""Pets allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Bathtub"", ""Dryer"", ""Shampoo""]","$3,449.00",t,30/03/23,28/07/11,12/03/23,f,165772,20200000000000.0,790208.0,6.0,7.0,19.40826,-99.18659,2.8,1.4,1.5,2.0,365.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,3.0,8.0,21.0,194.0,60.8,20.0,2.0,4.88,4.91,4.86,4.93,4.92,4.71,4.91,6.0,4.0,2.0,0.0,2.09
28,https://www.airbnb.com/rooms/2127400,30/03/23,city scrape,Stay like a local in Roma Norte,"Our beautiful century-old house is perfectly situated for exploring the city: we're half a block from Metro Insurgentes, there is a bike share station across the street, and Ubers usually arrive within minutes. Super comfy bed, private balcony and bath. We love sharing our home with guests and helping guide them to the best spots in the Mexico City.<br /><br /><b>The space</b><br />_________________________<br /><br />Our house was built in 1905 with gorgeous colonial features: high ceilings, hardwood floors, lots and lots of light! The room is located at the front of the house, and we live in the back, so there is plenty of privacy for our guests even though it's a shared house. Our office is a short walk away, and a friend has a vintage clothing store in the bottom floor of the building, so there's usually someone here in case of a lockout or any questions that might arise.<br /><br /><b>Guest access</b><br />Guests have access to their bedroom and private bath, the living room, dini","_________________________<br /><br />Roma Norte, as you've probably already read, is full of cafes, galleries, quaint parks, etc. It's safe and beautiful. Our neighborhood was built by the aristocracy of Mexico City in the late 1800s / early 1900s, and the colonial architecture remains. Roma suffered quite a bit of damage following the earthquake of 1985 (as well as in 2018), but in the past decade has seen a rapid revitalization and the opening of many of the city's best restaurants and galleries. We're just a quick walk from Condesa, another beautiful neighborhood with lots to see and do. Colonia Juarez is also up-and-coming, and just 3 blocks away.",https://a0.muscache.com/pictures/110399121/547c9aec_original.jpg,https://www.airbnb.com/users/show/350668,Blair,17/01/11,"Mexico City, Mexico","I am a graphic designer from southern Virginia who somehow found my way to Mexico City. My husband Jorge and I love to travel, and we enjoy meeting new people from around the world. I'm a little food-obsessed, and he's a little art / culture-obsessed, so I think we're a good pair to host visitors to this dynamic city.",within a day,50%,33%,f,https://a0.muscache.com/im/users/350668/profile_pic/1407714362/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/350668/profile_pic/1407714362/original.jpg?aki_policy=profile_x_medium,sin registro,"['email', 'phone', 'work_email']",t,t,"Mexico City, Federal District, Mexico",CuauhtÃ©moc,Private room in townhouse,Private room,1.5 shared baths,"[""Smoke alarm"", ""Wifi"", ""Iron"", ""Washer"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Essentials"", ""Hangers"", ""Hot water"", ""Private patio or balcony"", ""Kitchen"", ""Host greets you"", ""Smoking allowed"", ""First aid kit"", ""Dryer"", ""Hair dryer"", ""Coffee maker"", ""Shampoo""]","$1,543.00",t,30/03/23,22/01/14,18/02/23,f,2127400,20200000000000.0,350668.0,1.0,1.0,19.4191,-99.15904,2.0,1.0,1.0,2.0,7.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,0.0,0.0,20.0,295.0,158.0,1.0,0.0,4.97,4.94,4.97,4.98,4.96,4.96,4.95,1.0,0.0,1.0,0.0,1.41
44,https://www.airbnb.com/rooms/2182375,30/03/23,city scrape,Bright and beautiful apt Narvarte,"Sunny and beautiful apartment in the 5th level of a new building in Narvarte. The view of the city at night is stunning!<br />Two bedroom apartment (two double beds). The apartment is quiet new and clean with a fully equipped kitchen, laundry room.<br /><br /><b>The space</b><br />Two bedroom apartment (two double beds) and two bathrooms. There is also a very comfy couch for a 5ve guest.<br />Wifi and pay TV for your use.<br /><br /><b>Guest access</b><br />Kitchen, laundry, own bathroom and living room<br /><br /><b>Other things to note</b><br />If you like coffee, you will love the local cofe shop.","Enveloped by a vintage air, Narvarte serenely lingers in the past at the southern edge of the city. PapelerÃ­as, tlapalerÃ­as, and ferreterÃ­as opened during DF's construction boom in the mid-20th century continue to serve decades-long loyal customers. During the same boom, Japanese, Lebanese, and German immigrants moved into the area. Many still call Narvarte home and their diverse tastes flavor the neighborhood with a welcomed cultural richness.",https://a0.muscache.com/pictures/76271422/23caca4b_original.jpg,https://www.airbnb.com/users/show/1979548,Oscar,21/03/12,"Mexico City, Mexico","I love traveling! Whenver I have an opportunity, I travel.
I was born in Mexico and chose Australia as my second home. I am currently based in Mexico City. I work in Marketing and Graphic Design.",within a few hours,100%,100%,f,https://a0.muscache.com/im/users/1979548/profile_pic/1416414291/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1979548/profile_pic/1416414291/original.jpg?aki_policy=profile_x_medium,Vertiz Narvarte,"['email', 'phone', 'work_email']",t,t,"Mexico City, Distrito Federal, Mexico",Benito JuÃ¡rez,Entire rental unit,Entire home/apt,2 baths,"[""Long term stays allowed"", ""TV with standard cable"", ""Host greets you"", ""Dedicated workspace"", ""Essentials"", ""Oven"", ""Iron"", ""Microwave"", ""AC - split type ductless system"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Cooking basics"", ""Elevator"", ""Washer"", ""Refrigerator"", ""Hangers"", ""Kitchen"", ""Coffee maker"", ""Gas stove"", ""Wifi"", ""Dishes and silverware"", ""Dishwasher""]","$2,800.00",t,30/03/23,13/06/15,31/12/19,f,2182375,20200000000000.0,1979548.0,2.0,5.0,19.38212,-99.15361,4.0,2.0,2.0,2.2,120.0,2.1,2.2,1125.0,1125.0,2.2,1125.0,28.0,58.0,88.0,363.0,40.0,0.0,0.0,4.9,4.98,4.9,5.0,5.0,4.88,4.98,2.0,1.0,1.0,0.0,0.42
51,https://www.airbnb.com/rooms/247543,30/03/23,city scrape,"Independent studio, top location","IDEAL FOR SINGLE TRAVELER<br />SEPARATE ENTRANCE - total independence<br />CONTINENTAL BREAKFAST<br />MAID SERVICE - 3 times a week<br />BEST OF HISTORIC CENTER - you are in the midst of it<br />MUSEUMS, SITES, RESTAURANTS + MORE<br /><br />Access to the building (Edificio Santa Clara) is limited to residents with written proof of vaccination against COVID.  Please do not reserve if you are unable to supply this to your host prior to arrival.<br /><br /><b>The space</b><br />Granted, the studio is not big. But it is cozy and everything you need is right there. AND you have privacy: your own entrance, your own en-suite bathroom. There is wifi, and the maid cleans your room three times a week (Mo, Wed, Fri). For a small fee she will also do your laundry. <br />You have no kitchen, but there is a coffee and tea maker in your room, and we'll bring you fresh fruit and bread every day. There are also plenty of restaurants in all price ranges in the area. There is even one in the building!<br",sin registro,https://a0.muscache.com/pictures/2348218/fb0d3f80_original.jpg,https://www.airbnb.com/users/show/1297488,Petra,16/10/11,"Mexico City, Mexico","I am German and live in Mexico where I do productions for TV and film documentaries, 
I love to travel, have lived in many countries and speak several languages. I like reading, classical music, good food and cooking.   ",within a few hours,100%,81%,t,https://a0.muscache.com/im/users/1297488/profile_pic/1318782718/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1297488/profile_pic/1318782718/original.jpg?aki_policy=profile_x_medium,Centro HistÃ³rico,"['email', 'phone']",t,t,sin registro,CuauhtÃ©moc,Entire rental unit,Entire home/apt,1 bath,"[""Hot water kettle"", ""Luggage dropoff allowed"", ""Conditioner"", ""Long term stays allowed"", ""Cleaning products"", ""Coffee"", ""Host greets you"", ""Dedicated workspace"", ""Essentials"", ""Extra pillows and blankets"", ""Paid parking lot off premises"", ""Breakfast"", ""Iron"", ""Hot water"", ""Hair dryer"", ""Elevator"", ""Heating"", ""Shower gel"", ""Paid parking garage on premises \u2013 1 space"", ""Portable fans"", ""Hangers"", ""Room-darkening shades"", ""First aid kit"", ""Coffee maker"", ""Bed linens"", ""Private entrance"", ""Wifi"", ""Clothing storage: closet"", ""Body soap"", ""Shampoo""]",$545.00,t,30/03/23,17/12/11,16/03/23,f,247543,20200000000000.0,1297488.0,6.0,7.0,19.43516,-99.13806,1.0,1.0,1.0,3.0,30.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,4.0,30.0,60.0,313.0,99.0,19.0,2.0,4.88,4.94,4.96,4.97,4.95,4.99,4.94,6.0,6.0,0.0,0.0,0.72
53,https://www.airbnb.com/rooms/865012,29/03/23,city scrape,Business Suite RED near Reforma Av.,"<b>The space</b><br />Beautiful business suite decorated in red facing the street. Ideal for mid-term stays. <br />This new, fully furnished and equipped suite is ideal for foreigners who visit Mexico City for business or leisure purposes. Most of our guests choose this suite for 2-6 months stay. You'll have your own fully equipped kitchen with cooker, frigobar, microwave oven, blender, toaster, coffee machine, all kitchen utensils, and china. A small dining table for two is ideal for having home cooked meals or as a working space. <br /><br />Living space is also provided for you to entertain your guests and a queen size bed is great for one person and even for a couple. The bathroom for this suite is quite spacious and comfortable. Cleaning of your suite is included in price and takes place twice a week, while changing of sheets and laundry is done once a week. During your stay, you'll receive towels and other consumibles such as soap and toilet paper. Our suites also have a very ext",sin registro,https://a0.muscache.com/pictures/12416374/df57c26b_original.jpg,https://www.airbnb.com/users/show/3850198,Hermann,12/10/12,"Mexico City, Mexico","I am a 38 y/o architect responsible for the building of these new suites. As owner and architect, I can assure you I've made my best effort to design these spaces with the best materials, including a great design and making sure you receive the best of service.",within an hour,90%,87%,t,https://a0.muscache.com/im/users/3850198/profile_pic/1350084222/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3850198/profile_pic/1350084222/original.jpg?aki_policy=profile_x_medium,Colonia CuauhtÃ©moc,"['email', 'phone']",t,t,sin registro,CuauhtÃ©moc,Room in serviced apartment,Hotel room,1 bath,"[""Smoke alarm"", ""TV with standard cable"", ""Host greets you"", ""Essentials"", ""Iron"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Cooking basics"", ""Paid parking on premises"", ""Washer"", ""Hangers"", ""Fire extinguisher"", ""Kitchen"", ""Smoking allowed"", ""First aid kit"", ""Wifi"", ""Paid parking off premises"", ""Dryer"", ""Carbon monoxide alarm"", ""Shampoo""]","$1,006.00",t,29/03/23,02/03/13,01/01/22,t,865012,20200000000000.0,3850198.0,3.1,3.8,19.43078,-99.17011,2.0,1.0,1.0,2.0,730.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,0.0,27.0,57.0,332.0,31.0,0.0,0.0,4.97,4.97,4.94,5.0,5.0,4.97,4.97,11.0,7.0,0.0,0.0,0.25
